Time,GPS_Data.seq,GPS_Data.stamp.secs,GPS_Data.stamp.nsecs,GPS_Data.frame_id,lat,lon,alt,utm_easting,utm_northing,zone,letter
1646525354.248629,0,0,0,,42.204402,-71.053051,11.3,330512.82354331913,4674511.513940451,19,T
1646525355.246744,0,0,0,,42.204381999999995,-71.053105,11.5,330508.3119663553,4674509.400503138,19,T
1646525356.2449217,0,0,0,,42.204361,-71.053159,11.8,330503.7977124,4674507.176028752,19,T
1646525357.2434502,0,0,0,,42.204336999999995,-71.053217,12.4,330498.94520316,4674504.6263906695,19,T
1646525358.2452376,0,0,0,,42.204314999999994,-71.053275,12.5,330494.0980389652,4674502.298835625,19,T
1646525359.249473,0,0,0,,42.204294,-71.053334,12.6,330489.17098840873,4674500.084312125,19,T
1646525360.2458196,0,0,0,,42.204274,-71.053395,12.7,330484.08149415953,4674497.98480881,19,T
1646525361.2468622,0,0,0,,42.204251000000006,-71.053458,13.0,330478.8188580163,4674495.556166464,19,T
1646525362.245831,0,0,0,,42.204228,-71.053522,12.9,330473.4736605658,4674493.129516542,19,T
1646525363.2468767,0,0,0,,42.204204,-71.053587,12.8,330468.043226984,4674490.593819334,19,T
1646525364.2470615,0,0,0,,42.204178,-71.053654,12.5,330462.4423244993,4674487.840023856,19,T
1646525365.2460744,0,0,0,,42.204153,-71.053723,12.6,330456.67897711566,4674485.201250168,19,T
1646525366.2454865,0,0,0,,42.204124,-71.053794,12.4,330450.7398099083,4674482.122299213,19,T
1646525367.2466667,0,0,0,,42.204096,-71.053865,12.2,330444.80331244005,4674479.154393022,19,T
1646525368.2468662,0,0,0,,42.20407,-71.05393600000001,12.5,330438.87216016534,4674476.408571486,19,T
1646525369.2455297,0,0,0,,42.204044,-71.054005,12.7,330433.1061186476,4674473.658776715,19,T
1646525370.2464173,0,0,0,,42.204017,-71.05407199999999,12.6,330427.5025127366,4674470.793968413,19,T
1646525371.2474895,0,0,0,,42.203992,-71.054136,12.5,330422.151926552,4674468.145276687,19,T
1646525372.2474427,0,0,0,,42.203966,-71.054196,12.3,330417.1288922156,4674465.377592067,19,T
1646525373.2464883,0,0,0,,42.203943,-71.05425,12.3,330412.60922808875,4674462.931094841,19,T
1646525374.2455926,0,0,0,,42.203921,-71.054299,11.9,330408.50502609496,4674460.585693623,19,T
1646525375.2480397,0,0,0,,42.203900000000004,-71.054338,11.8,330405.2290767109,4674458.331440811,19,T
1646525376.24832,0,0,0,,42.203877000000006,-71.054366,11.6,330402.8559117113,4674455.8332261965,19,T
1646525377.2470834,0,0,0,,42.203855999999995,-71.05438199999999,11.5,330401.47879291954,4674453.533219037,19,T
